,Comment,Class,Comment2,Comment3,Comment4
20,hello everyone know probably pass kind comments still reading thanks money advertisements chance getting heard nothing live small town comes spam sorry instrumental songwriter columbus mississippi please go channel check original music would highly appreciated thumbs comment music heard thank adam whitney,1,"['hello', 'everyone', 'know', 'probably', 'pass', 'kind', 'comments', 'still', 'reading', 'thanks', 'money', 'advertisements', 'chance', 'getting', 'heard', 'nothing', 'live', 'small', 'town', 'comes', 'spam', 'sorry', 'instrumental', 'songwriter', 'columbus', 'mississippi', 'please', 'go', 'channel', 'check', 'original', 'music', 'would', 'highly', 'appreciated', 'thumbs', 'comment', 'music', 'heard', 'thank', 'adam', 'whitney']","['hello', 'everyon', 'know', 'probabl', 'pass', 'kind', 'comment', 'still', 'read', 'thank', 'money', 'advertis', 'chanc', 'get', 'heard', 'noth', 'live', 'small', 'town', 'come', 'spam', 'sorri', 'instrument', 'songwrit', 'columbu', 'mississippi', 'pleas', 'go', 'channel', 'check', 'origin', 'music', 'would', 'highli', 'appreci', 'thumb', 'comment', 'music', 'heard', 'thank', 'adam', 'whitney']",hello everyon know probabl pass kind comment still read thank money advertis chanc get heard noth live small town come spam sorri instrument songwrit columbu mississippi pleas go channel check origin music would highli appreci thumb comment music heard thank adam whitney
21,voice wow,0,"['voice', 'wow']","['voic', 'wow']",voic wow
22,hi heard dribbleproshot search google web site watch smart free video featuring best way significantly boost football aka soccer skills time turned nick much better football soccer player team mates definitily amazed hope help also,1,"['hi', 'heard', 'dribbleproshot', 'search', 'google', 'web', 'site', 'watch', 'smart', 'free', 'video', 'featuring', 'best', 'way', 'significantly', 'boost', 'football', 'aka', 'soccer', 'skills', 'time', 'turned', 'nick', 'much', 'better', 'football', 'soccer', 'player', 'team', 'mates', 'definitily', 'amazed', 'hope', 'help', 'also']","['hi', 'heard', 'dribbleproshot', 'search', 'googl', 'web', 'site', 'watch', 'smart', 'free', 'video', 'featur', 'best', 'way', 'significantli', 'boost', 'footbal', 'aka', 'soccer', 'skill', 'time', 'turn', 'nick', 'much', 'better', 'footbal', 'soccer', 'player', 'team', 'mate', 'definitili', 'amaz', 'hope', 'help', 'also']",hi heard dribbleproshot search googl web site watch smart free video featur best way significantli boost footbal aka soccer skill time turn nick much better footbal soccer player team mate definitili amaz hope help also
23,meet richest online marketer click bit ly make money without adroid,1,"['meet', 'richest', 'online', 'marketer', 'click', 'bit', 'ly', 'make', 'money', 'without', 'adroid']","['meet', 'richest', 'onlin', 'market', 'click', 'bit', 'ly', 'make', 'money', 'without', 'adroid']",meet richest onlin market click bit ly make money without adroid
24,shakira,0,['shakira'],['shakira'],shakira
25,wow,0,['wow'],['wow'],wow
26,best,0,['best'],['best'],best
27,subscribe requite,1,"['subscribe', 'requite']","['subscrib', 'requit']",subscrib requit
28,guys check extraordinary website called zonepa com make money online start working home today making 3 000 per month zonepa com visit zonepa com check statement conciliate acidic stretch earth recognizes money numberless number transport trade,1,"['guys', 'check', 'extraordinary', 'website', 'called', 'zonepa', 'com', 'make', 'money', 'online', 'start', 'working', 'home', 'today', 'making', '3', '000', 'per', 'month', 'zonepa', 'com', 'visit', 'zonepa', 'com', 'check', 'statement', 'conciliate', 'acidic', 'stretch', 'earth', 'recognizes', 'money', 'numberless', 'number', 'transport', 'trade']","['guy', 'check', 'extraordinari', 'websit', 'call', 'zonepa', 'com', 'make', 'money', 'onlin', 'start', 'work', 'home', 'today', 'make', '3', '000', 'per', 'month', 'zonepa', 'com', 'visit', 'zonepa', 'com', 'check', 'statement', 'concili', 'acid', 'stretch', 'earth', 'recogn', 'money', 'numberless', 'number', 'transport', 'trade']",guy check extraordinari websit call zonepa com make money onlin start work home today make 3 000 per month zonepa com visit zonepa com check statement concili acid stretch earth recogn money numberless number transport trade
29,shakira perfect,0,"['shakira', 'perfect']","['shakira', 'perfect']",shakira perfect
30,hello everyone know probably pass kind comments still reading thanks money advertisements chance getting heard nothing live small town comes spam sorry instrumental songwriter columbus mississippi please go channel check original music would highly appreciated thumbs comment music heard thank adam whitney,1,"['hello', 'everyone', 'know', 'probably', 'pass', 'kind', 'comments', 'still', 'reading', 'thanks', 'money', 'advertisements', 'chance', 'getting', 'heard', 'nothing', 'live', 'small', 'town', 'comes', 'spam', 'sorry', 'instrumental', 'songwriter', 'columbus', 'mississippi', 'please', 'go', 'channel', 'check', 'original', 'music', 'would', 'highly', 'appreciated', 'thumbs', 'comment', 'music', 'heard', 'thank', 'adam', 'whitney']","['hello', 'everyon', 'know', 'probabl', 'pass', 'kind', 'comment', 'still', 'read', 'thank', 'money', 'advertis', 'chanc', 'get', 'heard', 'noth', 'live', 'small', 'town', 'come', 'spam', 'sorri', 'instrument', 'songwrit', 'columbu', 'mississippi', 'pleas', 'go', 'channel', 'check', 'origin', 'music', 'would', 'highli', 'appreci', 'thumb', 'comment', 'music', 'heard', 'thank', 'adam', 'whitney']",hello everyon know probabl pass kind comment still read thank money advertis chanc get heard noth live small town come spam sorri instrument songwrit columbu mississippi pleas go channel check origin music would highli appreci thumb comment music heard thank adam whitney
31,wow,0,['wow'],['wow'],wow
32,wanna laugh please subscribe channel,1,"['wan', 'na', 'laugh', 'please', 'subscribe', 'channel']","['wan', 'na', 'laugh', 'pleas', 'subscrib', 'channel']",wan na laugh pleas subscrib channel
33,hahahahah like vines subscribe daily vines,1,"['hahahahah', 'like', 'vines', 'subscribe', 'daily', 'vines']","['hahahahah', 'like', 'vine', 'subscrib', 'daili', 'vine']",hahahahah like vine subscrib daili vine
34,please visit web wellcomemd blogfa com,1,"['please', 'visit', 'web', 'wellcomemd', 'blogfa', 'com']","['pleas', 'visit', 'web', 'wellcomemd', 'blogfa', 'com']",pleas visit web wellcomemd blogfa com
35,hi check share songs,1,"['hi', 'check', 'share', 'songs']","['hi', 'check', 'share', 'song']",hi check share song
36,really love watching football also started making income financial risk acquiring bonus deals weird technique wager something one bookmakers bet betfair secure bonus income chap named jim vanstone finding wagers free website vanstone secrets google made 500 quid thus far cost free guess bookies pay obtain new consumers yet actually works,1,"['really', 'love', 'watching', 'football', 'also', 'started', 'making', 'income', 'financial', 'risk', 'acquiring', 'bonus', 'deals', 'weird', 'technique', 'wager', 'something', 'one', 'bookmakers', 'bet', 'betfair', 'secure', 'bonus', 'income', 'chap', 'named', 'jim', 'vanstone', 'finding', 'wagers', 'free', 'website', 'vanstone', 'secrets', 'google', 'made', '500', 'quid', 'thus', 'far', 'cost', 'free', 'guess', 'bookies', 'pay', 'obtain', 'new', 'consumers', 'yet', 'actually', 'works']","['realli', 'love', 'watch', 'footbal', 'also', 'start', 'make', 'incom', 'financi', 'risk', 'acquir', 'bonu', 'deal', 'weird', 'techniqu', 'wager', 'someth', 'one', 'bookmak', 'bet', 'betfair', 'secur', 'bonu', 'incom', 'chap', 'name', 'jim', 'vanston', 'find', 'wager', 'free', 'websit', 'vanston', 'secret', 'googl', 'made', '500', 'quid', 'thu', 'far', 'cost', 'free', 'guess', 'booki', 'pay', 'obtain', 'new', 'consum', 'yet', 'actual', 'work']",realli love watch footbal also start make incom financi risk acquir bonu deal weird techniqu wager someth one bookmak bet betfair secur bonu incom chap name jim vanston find wager free websit vanston secret googl made 500 quid thu far cost free guess booki pay obtain new consum yet actual work
37,subscribe,1,['subscribe'],['subscrib'],subscrib
38,check channel,1,"['check', 'channel']","['check', 'channel']",check channel
39,believe jesus christ savior sins truly believe jesus christ savior sins go heaven believe jesus christ saved salvation gained god righteousness matters much sinned past present especially future believe jesus christ savior go heaven forever whole truth spread truth,1,"['believe', 'jesus', 'christ', 'savior', 'sins', 'truly', 'believe', 'jesus', 'christ', 'savior', 'sins', 'go', 'heaven', 'believe', 'jesus', 'christ', 'saved', 'salvation', 'gained', 'god', 'righteousness', 'matters', 'much', 'sinned', 'past', 'present', 'especially', 'future', 'believe', 'jesus', 'christ', 'savior', 'go', 'heaven', 'forever', 'whole', 'truth', 'spread', 'truth']","['believ', 'jesu', 'christ', 'savior', 'sin', 'truli', 'believ', 'jesu', 'christ', 'savior', 'sin', 'go', 'heaven', 'believ', 'jesu', 'christ', 'save', 'salvat', 'gain', 'god', 'righteous', 'matter', 'much', 'sin', 'past', 'present', 'especi', 'futur', 'believ', 'jesu', 'christ', 'savior', 'go', 'heaven', 'forev', 'whole', 'truth', 'spread', 'truth']",believ jesu christ savior sin truli believ jesu christ savior sin go heaven believ jesu christ save salvat gain god righteous matter much sin past present especi futur believ jesu christ savior go heaven forev whole truth spread truth
40,check new mixtape check new mixtape check new mixtape check new mixtape check new mixtape check new mixtape check new mixtape check new mixtape check new mixtape check new mixtape check new mixtape check new mixtape check new mixtape check new mixtape check new mixtape check new mixtape,1,"['check', 'new', 'mixtape', 'check', 'new', 'mixtape', 'check', 'new', 'mixtape', 'check', 'new', 'mixtape', 'check', 'new', 'mixtape', 'check', 'new', 'mixtape', 'check', 'new', 'mixtape', 'check', 'new', 'mixtape', 'check', 'new', 'mixtape', 'check', 'new', 'mixtape', 'check', 'new', 'mixtape', 'check', 'new', 'mixtape', 'check', 'new', 'mixtape', 'check', 'new', 'mixtape', 'check', 'new', 'mixtape', 'check', 'new', 'mixtape']","['check', 'new', 'mixtap', 'check', 'new', 'mixtap', 'check', 'new', 'mixtap', 'check', 'new', 'mixtap', 'check', 'new', 'mixtap', 'check', 'new', 'mixtap', 'check', 'new', 'mixtap', 'check', 'new', 'mixtap', 'check', 'new', 'mixtap', 'check', 'new', 'mixtap', 'check', 'new', 'mixtap', 'check', 'new', 'mixtap', 'check', 'new', 'mixtap', 'check', 'new', 'mixtap', 'check', 'new', 'mixtap', 'check', 'new', 'mixtap']",check new mixtap check new mixtap check new mixtap check new mixtap check new mixtap check new mixtap check new mixtap check new mixtap check new mixtap check new mixtap check new mixtap check new mixtap check new mixtap check new mixtap check new mixtap check new mixtap
41,adf ly kld3y,1,"['adf', 'ly', 'kld3y']","['adf', 'ly', 'kld3i']",adf ly kld3i
42,shakira beautiful,0,"['shakira', 'beautiful']","['shakira', 'beauti']",shakira beauti
43,shakira,0,['shakira'],['shakira'],shakira
44,haha miley cyrus done today someone leeched porno video celeb site believe website link miley celeb news co uk case want view,1,"['haha', 'miley', 'cyrus', 'done', 'today', 'someone', 'leeched', 'porno', 'video', 'celeb', 'site', 'believe', 'website', 'link', 'miley', 'celeb', 'news', 'co', 'uk', 'case', 'want', 'view']","['haha', 'miley', 'cyru', 'done', 'today', 'someon', 'leech', 'porno', 'video', 'celeb', 'site', 'believ', 'websit', 'link', 'miley', 'celeb', 'news', 'co', 'uk', 'case', 'want', 'view']",haha miley cyru done today someon leech porno video celeb site believ websit link miley celeb news co uk case want view
45,perfect lt,0,"['perfect', 'lt']","['perfect', 'lt']",perfect lt
46,shakira u wiredo,0,"['shakira', 'u', 'wiredo']","['shakira', 'u', 'wiredo']",shakira u wiredo
47,check dubstep version,1,"['check', 'dubstep', 'version']","['check', 'dubstep', 'version']",check dubstep version
48,hey music fans really appreciate take time read check music 39 15 year old boy dreaming successful musician music world lots covers piano covers dont money advertise simple thumbs comment comment videos subscription would step forward seconds life u 39 regret thank u people give chance means lot,1,"['hey', 'music', 'fans', 'really', 'appreciate', 'take', 'time', 'read', 'check', 'music', '39', '15', 'year', 'old', 'boy', 'dreaming', 'successful', 'musician', 'music', 'world', 'lots', 'covers', 'piano', 'covers', 'dont', 'money', 'advertise', 'simple', 'thumbs', 'comment', 'comment', 'videos', 'subscription', 'would', 'step', 'forward', 'seconds', 'life', 'u', '39', 'regret', 'thank', 'u', 'people', 'give', 'chance', 'means', 'lot']","['hey', 'music', 'fan', 'realli', 'appreci', 'take', 'time', 'read', 'check', 'music', '39', '15', 'year', 'old', 'boy', 'dream', 'success', 'musician', 'music', 'world', 'lot', 'cover', 'piano', 'cover', 'dont', 'money', 'advertis', 'simpl', 'thumb', 'comment', 'comment', 'video', 'subscript', 'would', 'step', 'forward', 'second', 'life', 'u', '39', 'regret', 'thank', 'u', 'peopl', 'give', 'chanc', 'mean', 'lot']",hey music fan realli appreci take time read check music 39 15 year old boy dream success musician music world lot cover piano cover dont money advertis simpl thumb comment comment video subscript would step forward second life u 39 regret thank u peopl give chanc mean lot
49,beautiful song beautiful girl works,0,"['beautiful', 'song', 'beautiful', 'girl', 'works']","['beauti', 'song', 'beauti', 'girl', 'work']",beauti song beauti girl work
50,hey youtubers really appreciate took time read 19 year old boy wants successful musician music world dont money advertise channel could visit channel comment video subscribe would great seconds life thank u people gave chance l really appreciate,1,"['hey', 'youtubers', 'really', 'appreciate', 'took', 'time', 'read', '19', 'year', 'old', 'boy', 'wants', 'successful', 'musician', 'music', 'world', 'dont', 'money', 'advertise', 'channel', 'could', 'visit', 'channel', 'comment', 'video', 'subscribe', 'would', 'great', 'seconds', 'life', 'thank', 'u', 'people', 'gave', 'chance', 'l', 'really', 'appreciate']","['hey', 'youtub', 'realli', 'appreci', 'took', 'time', 'read', '19', 'year', 'old', 'boy', 'want', 'success', 'musician', 'music', 'world', 'dont', 'money', 'advertis', 'channel', 'could', 'visit', 'channel', 'comment', 'video', 'subscrib', 'would', 'great', 'second', 'life', 'thank', 'u', 'peopl', 'gave', 'chanc', 'l', 'realli', 'appreci']",hey youtub realli appreci took time read 19 year old boy want success musician music world dont money advertis channel could visit channel comment video subscrib would great second life thank u peopl gave chanc l realli appreci
51,absolutely adore watching football plus started earning income risk claiming bonus deals weird technique put money something one bookmakers put money betfair acquire bonus income lad named jim vanstone selecting wagers free website vanstone secrets google generated 600 quid far free assume bookmakers pay get new men women succeeds,1,"['absolutely', 'adore', 'watching', 'football', 'plus', 'started', 'earning', 'income', 'risk', 'claiming', 'bonus', 'deals', 'weird', 'technique', 'put', 'money', 'something', 'one', 'bookmakers', 'put', 'money', 'betfair', 'acquire', 'bonus', 'income', 'lad', 'named', 'jim', 'vanstone', 'selecting', 'wagers', 'free', 'website', 'vanstone', 'secrets', 'google', 'generated', '600', 'quid', 'far', 'free', 'assume', 'bookmakers', 'pay', 'get', 'new', 'men', 'women', 'succeeds']","['absolut', 'ador', 'watch', 'footbal', 'plu', 'start', 'earn', 'incom', 'risk', 'claim', 'bonu', 'deal', 'weird', 'techniqu', 'put', 'money', 'someth', 'one', 'bookmak', 'put', 'money', 'betfair', 'acquir', 'bonu', 'incom', 'lad', 'name', 'jim', 'vanston', 'select', 'wager', 'free', 'websit', 'vanston', 'secret', 'googl', 'gener', '600', 'quid', 'far', 'free', 'assum', 'bookmak', 'pay', 'get', 'new', 'men', 'women', 'succe']",absolut ador watch footbal plu start earn incom risk claim bonu deal weird techniqu put money someth one bookmak put money betfair acquir bonu incom lad name jim vanston select wager free websit vanston secret googl gener 600 quid far free assum bookmak pay get new men women succe
52,still amazing song french kpop parody please come channel watch share suscribe comment thanks,1,"['still', 'amazing', 'song', 'french', 'kpop', 'parody', 'please', 'come', 'channel', 'watch', 'share', 'suscribe', 'comment', 'thanks']","['still', 'amaz', 'song', 'french', 'kpop', 'parodi', 'pleas', 'come', 'channel', 'watch', 'share', 'suscrib', 'comment', 'thank']",still amaz song french kpop parodi pleas come channel watch share suscrib comment thank
53,good,0,['good'],['good'],good
54,1 753 682 421 gangnam style,1,"['1', '753', '682', '421', 'gangnam', 'style']","['1', '753', '682', '421', 'gangnam', 'style']",1 753 682 421 gangnam style
55,check new video,1,"['check', 'new', 'video']","['check', 'new', 'video']",check new video
56,wow,0,['wow'],['wow'],wow
57,know people makes another account subscribing liking,1,"['know', 'people', 'makes', 'another', 'account', 'subscribing', 'liking']","['know', 'peopl', 'make', 'anoth', 'account', 'subscrib', 'like']",know peopl make anoth account subscrib like
58,want make easy money check page tvcmcadavid weebly com dont miss opportunity give thumbs would apprecitate,1,"['want', 'make', 'easy', 'money', 'check', 'page', 'tvcmcadavid', 'weebly', 'com', 'dont', 'miss', 'opportunity', 'give', 'thumbs', 'would', 'apprecitate']","['want', 'make', 'easi', 'money', 'check', 'page', 'tvcmcadavid', 'weebli', 'com', 'dont', 'miss', 'opportun', 'give', 'thumb', 'would', 'apprecit']",want make easi money check page tvcmcadavid weebli com dont miss opportun give thumb would apprecit
59,love,0,['love'],['love'],love
60,perfect,0,['perfect'],['perfect'],perfect
61,14 year old boys trying enter music industry maybe dreamers one please give us one chance prove ourself know things annoying hell sorry anything get music heard please visit channel subscribe like thumb comment everyone see made song called wanna play game please take look channel thankss,1,"['14', 'year', 'old', 'boys', 'trying', 'enter', 'music', 'industry', 'maybe', 'dreamers', 'one', 'please', 'give', 'us', 'one', 'chance', 'prove', 'ourself', 'know', 'things', 'annoying', 'hell', 'sorry', 'anything', 'get', 'music', 'heard', 'please', 'visit', 'channel', 'subscribe', 'like', 'thumb', 'comment', 'everyone', 'see', 'made', 'song', 'called', 'wan', 'na', 'play', 'game', 'please', 'take', 'look', 'channel', 'thankss']","['14', 'year', 'old', 'boy', 'tri', 'enter', 'music', 'industri', 'mayb', 'dreamer', 'one', 'pleas', 'give', 'us', 'one', 'chanc', 'prove', 'ourself', 'know', 'thing', 'annoy', 'hell', 'sorri', 'anyth', 'get', 'music', 'heard', 'pleas', 'visit', 'channel', 'subscrib', 'like', 'thumb', 'comment', 'everyon', 'see', 'made', 'song', 'call', 'wan', 'na', 'play', 'game', 'pleas', 'take', 'look', 'channel', 'thankss']",14 year old boy tri enter music industri mayb dreamer one pleas give us one chanc prove ourself know thing annoy hell sorri anyth get music heard pleas visit channel subscrib like thumb comment everyon see made song call wan na play game pleas take look channel thankss
62,love song sing camp time,0,"['love', 'song', 'sing', 'camp', 'time']","['love', 'song', 'sing', 'camp', 'time']",love song sing camp time
63,waka waka,0,"['waka', 'waka']","['waka', 'waka']",waka waka
